-0.989651,-0.241664
-0.989468,-0.217799
-0.989285,-0.195637
-0.989101,-0.191346
-0.988918,-0.227985
-0.988735,-0.251392
-0.988551,-0.251848
-0.988368,-0.269297
-0.988185,-0.286459
-0.988001,-0.302031
-0.987818,-0.314535
-0.987634,-0.305571
-0.987451,-0.29666
-0.987268,-0.287748
-0.987084,-0.278829
-0.986901,-0.269865
-0.986718,-0.260954
-0.986534,-0.252035
-0.986351,-0.243861
-0.986168,-0.241167
-0.985984,-0.238421
-0.985801,-0.235682
-0.985618,-0.232989
-0.985434,-0.230242
-0.985251,-0.227503
-0.985067,-0.22481
-0.984884,-0.221838
-0.984701,-0.217314
-0.984517,-0.212744
-0.984334,-0.20822
-0.984151,-0.206729
-0.983967,-0.226436
-0.983784,-0.246097
-0.983601,-0.265804
-0.983417,-0.283929
-0.983234,-0.291574
-0.983051,-0.29931
-0.982867,-0.306955
-0.982684,-0.312844
-0.9825,-0.305947
-0.982317,-0.299057
-0.982134,-0.292214
-0.98195,-0.284168
-0.981767,-0.268237
-0.981584,-0.252307
-0.9814,-0.236369
-0.981217,-0.220851
-0.981034,-0.208575
-0.98085,-0.196254
-0.980667,-0.183978
-0.980484,-0.169908
-0.9803,-0.143907
-0.980117,-0.125303
-0.979933,-0.157415
-0.97975,-0.192425
-0.979567,-0.24693
-0.979383,-0.292808
-0.9792,-0.273384
-0.979017,-0.211733
-0.978833,-0.154588
-0.97865,-0.127778
-0.978467,-0.134736
-0.978283,-0.141321
-0.9781,-0.145342
-0.977917,-0.149309
-0.977733,-0.153277
-0.97755,-0.158177
-0.977367,-0.169461
-0.977183,-0.180707
-0.977,-0.192052
-0.976816,-0.199173
-0.976633,-0.177758
-0.97645,-0.163803
-0.976266,-0.200539
-0.976083,-0.231283
-0.9759,-0.221388
-0.975716,-0.211454
-0.975533,-0.20162
-0.97535,-0.188019
-0.975166,-0.149032
-0.974983,-0.117549
-0.9748,-0.136661
-0.974616,-0.155749
-0.974433,-0.174304
-0.974249,-0.192866
-0.974066,-0.211474
-0.973883,-0.228869
-0.973699,-0.238337
-0.973516,-0.247617
-0.973333,-0.255246
-0.973149,-0.26145
-0.972966,-0.254201
-0.972783,-0.223696
-0.972599,-0.213641
-0.972416,-0.248129
-0.972233,-0.294781
-0.972049,-0.311178
-0.971866,-0.293669
-0.971682,-0.271566
-0.971499,-0.217732
-0.971316,-0.163914
-0.971132,-0.110187
-0.970949,-0.0676545
-0.970766,-0.10227
-0.970582,-0.13693
-0.970399,-0.171529
-0.970216,-0.204227
-0.970032,-0.224308
-0.969849,-0.244388
-0.969666,-0.264469
-0.969482,-0.279751
-0.969299,-0.262294
-0.969116,-0.244838
-0.968932,-0.227374
-0.968749,-0.204798
-0.968565,-0.14773
-0.968382,-0.0993511
-0.968199,-0.116399
-0.968015,-0.174901
-0.967832,-0.224903
-0.967649,-0.248381
-0.967465,-0.263388
-0.967282,-0.274936
-0.967099,-0.263286
-0.966915,-0.25169
-0.966732,-0.240085
-0.966549,-0.230052
-0.966365,-0.231105
-0.966182,-0.23225
-0.965998,-0.233295
-0.965815,-0.23115
-0.965632,-0.206927
-0.965448,-0.182764
-0.965265,-0.15864
-0.965082,-0.138521
-0.964898,-0.146402
-0.964715,-0.152241
-0.964532,-0.147541
-0.964348,-0.171533
-0.964165,-0.218424
-0.963982,-0.260541
-0.963798,-0.265706
-0.963615,-0.243136
-0.963431,-0.209033
-0.963248,-0.201759
-0.963065,-0.20394
-0.962881,-0.206117
-0.962698,-0.208978
-0.962515,-0.211786
-0.962331,-0.214601
-0.962148,-0.217705
-0.961965,-0.222397
-0.961781,-0.227028
-0.961598,-0.231621
-0.961415,-0.234692
-0.961231,-0.226681
-0.961048,-0.218571
-0.960864,-0.210514
-0.960681,-0.202465
-0.960498,-0.194454
-0.960314,-0.186336
-0.960131,-0.178234
-0.959948,-0.170943
-0.959764,-0.168449
-0.959581,-0.166
-0.959398,-0.163513
-0.959214,-0.162982
-0.959031,-0.175006
-0.958848,-0.187038
-0.958664,-0.199123
-0.958481,-0.208511
-0.958298,-0.199624
-0.958114,-0.19088
-0.957931,-0.182022
-0.957747,-0.176239
-0.957564,-0.191673
-0.957381,-0.207062
-0.957197,-0.222497
-0.957014,-0.235689
-0.956831,-0.234033
-0.956647,-0.232332
-0.956464,-0.230684
-0.956281,-0.226918
-0.956097,-0.208806
-0.955914,-0.188697
-0.955731,-0.15807
-0.955547,-0.156111
-0.955364,-0.176863
-0.95518,-0.190605
-0.954997,-0.156845
-0.954814,-0.125135
-0.95463,-0.111424
-0.954447,-0.120977
-0.954264,-0.116286
-0.95408,-0.113642
-0.953897,-0.124522
-0.953714,-0.1355
-0.95353,-0.146426
-0.953347,-0.157351
-0.953164,-0.168269
-0.95298,-0.179149
-0.952797,-0.190127
-0.952613,-0.20128
-0.95243,-0.213992
-0.952247,-0.226793
-0.952063,-0.239489
-0.95188,-0.247602
-0.951697,-0.224698
-0.951513,-0.20528
-0.95133,-0.216397
-0.951147,-0.270035
-0.950963,-0.319831
-0.95078,-0.319108
-0.950597,-0.261918
-0.950413,-0.207614
-0.95023,-0.176568
-0.950046,-0.172474
-0.949863,-0.179486
-0.94968,-0.188749
-0.949496,-0.213598
-0.949313,-0.238493
-0.94913,-0.263327
-0.948946,-0.285235
-0.948763,-0.287729
-0.94858,-0.290179
-0.948396,-0.292673
-0.948213,-0.29343
-0.94803,-0.28281
-0.947846,-0.27008
-0.947663,-0.24685
-0.94748,-0.250807
-0.947296,-0.267462
-0.947113,-0.279149
-0.946929,-0.253907
-0.946746,-0.207381
-0.946563,-0.19208
-0.946379,-0.201792
-0.946196,-0.206168
-0.946013,-0.183182
-0.945829,-0.145934
-0.945646,-0.113758
-0.945463,-0.120256
-0.945279,-0.150448
-0.945096,-0.169804
-0.944913,-0.18945
-0.944729,-0.210682
-0.944546,-0.229205
-0.944362,-0.229831
-0.944179,-0.23054
-0.943996,-0.231097
-0.943812,-0.230729
-0.943629,-0.223771
-0.943446,-0.219172
-0.943262,-0.226693
-0.943079,-0.207721
-0.942896,-0.185177
-0.942712,-0.1929
-0.942529,-0.233741
-0.942346,-0.26934
-0.942162,-0.265515
