shift,A,cluster,peaks,Hs
1.87081,7.57346,c3,5,2
1.87099,8.2225,c3,5,2
1.87117,8.98564,c3,5,2
1.87136,9.8862,c3,5,2
1.87154,10.9569,c3,5,2
1.87172,12.2364,c3,5,2
1.87191,13.7657,c3,5,2
1.87209,15.591,c3,5,2
1.87227,17.7622,c3,5,2
1.87246,20.3208,c3,5,2
1.87264,23.2841,c3,5,2
1.87282,26.6384,c3,5,2
1.87301,30.3346,c3,5,2
1.87319,34.2809,c3,5,2
1.87337,38.3341,c3,5,2
1.87356,42.3064,c3,5,2
1.87374,45.9892,c3,5,2
1.87392,49.1777,c3,5,2
1.87411,51.6888,c3,5,2
1.87429,53.3743,c3,5,2
1.87447,54.1375,c3,5,2
1.87466,53.9464,c3,5,2
1.87484,52.8363,c3,5,2
1.87502,50.9034,c3,5,2
1.87521,48.2929,c3,5,2
1.87539,45.182,c3,5,2
1.87557,41.7564,c3,5,2
1.87576,38.1901,c3,5,2
1.87594,34.6348,c3,5,2
1.87612,31.2156,c3,5,2
1.87631,28.0264,c3,5,2
1.87649,25.1267,c3,5,2
1.87667,22.5446,c3,5,2
1.87686,20.2859,c3,5,2
1.87704,18.3408,c3,5,2
1.87722,16.6876,c3,5,2
1.87741,15.2956,c3,5,2
1.87759,14.1301,c3,5,2
1.87777,13.1569,c3,5,2
1.87796,12.3454,c3,5,2
1.87814,11.6707,c3,5,2
1.87832,11.1122,c3,5,2
1.87851,10.6506,c3,5,2
1.87869,10.2671,c3,5,2
1.87887,9.94658,c3,5,2
1.87906,9.68073,c3,5,2
1.87924,9.46424,c3,5,2
1.87942,9.2902,c3,5,2
1.87961,9.15116,c3,5,2
1.87979,9.04473,c3,5,2
1.87997,8.97512,c3,5,2
1.88016,8.94822,c3,5,2
1.88034,8.96611,c3,5,2
1.88052,9.02603,c3,5,2
1.88071,9.12277,c3,5,2
1.88089,9.25243,c3,5,2
1.88107,9.41645,c3,5,2
1.88126,9.62289,c3,5,2
