shift,A,cluster,peaks,Hs
1.30844,7.941344921,c1,2,3
1.30862,8.965820144,c1,2,3
1.3088,10.21060419,c1,2,3
1.30899,11.74431131,c1,2,3
1.30917,13.71353376,c1,2,3
1.30935,16.26901154,c1,2,3
1.30954,19.56563241,c1,2,3
1.30972,23.87237611,c1,2,3
1.3099,29.58106437,c1,2,3
1.31009,37.0590869,c1,2,3
1.31027,46.58190074,c1,2,3
1.31045,58.31212102,c1,2,3
1.31064,71.86826698,c1,2,3
1.31082,85.50998191,c1,2,3
1.311,95.9971227,c1,2,3
1.31119,100,c1,2,3
1.31137,96.21655651,c1,2,3
1.31155,86.21817017,c1,2,3
1.31174,73.23600669,c1,2,3
1.31192,60.19031991,c1,2,3
1.3121,48.67953345,c1,2,3
1.31229,39.20331094,c1,2,3
1.31247,31.72062928,c1,2,3
1.31265,25.93909945,c1,2,3
1.31284,21.45496777,c1,2,3
1.31302,17.92209475,c1,2,3
1.3132,15.13002391,c1,2,3
1.31339,12.93114028,c1,2,3
1.31357,11.17563569,c1,2,3
1.31376,9.748259075,c1,2,3
1.31394,8.595680415,c1,2,3
1.31412,7.680035728,c1,2,3
1.31431,6.945608596,c1,2,3
1.31449,6.348194074,c1,2,3
1.31467,5.872655661,c1,2,3
1.31486,5.499447722,c1,2,3
1.31504,5.185444868,c1,2,3
1.31522,4.894055855,c1,2,3
1.31541,4.614360131,c1,2,3
1.31559,4.344050855,c1,2,3
1.31577,4.076627969,c1,2,3
1.31596,3.815102865,c1,2,3
1.31614,3.574577951,c1,2,3
1.31632,3.361757834,c1,2,3
1.31651,3.171085646,c1,2,3
1.31669,3.002072746,c1,2,3
1.31687,2.864003309,c1,2,3
1.31706,2.758354621,c1,2,3
1.31724,2.674194765,c1,2,3
1.31742,2.602512296,c1,2,3
1.31761,2.544204947,c1,2,3
1.31779,2.502636388,c1,2,3
1.31797,2.479567996,c1,2,3
1.31816,2.477511159,c1,2,3
1.31834,2.498886354,c1,2,3
1.31852,2.543273121,c1,2,3
1.31871,2.612035109,c1,2,3
1.31889,2.709513268,c1,2,3
1.31907,2.837003064,c1,2,3
1.31926,2.990674915,c1,2,3
1.31944,3.165358321,c1,2,3
1.31962,3.354303221,c1,2,3
1.31981,3.545668597,c1,2,3
1.31999,3.730874826,c1,2,3
1.32017,3.913774216,c1,2,3
1.32036,4.097934981,c1,2,3
1.32054,4.270197911,c1,2,3
1.32072,4.417426522,c1,2,3
1.32091,4.553791398,c1,2,3
1.32109,4.711781471,c1,2,3
1.32127,4.909521905,c1,2,3
1.32146,5.151353649,c1,2,3
1.32164,5.452833662,c1,2,3
1.32182,5.834257584,c1,2,3
1.32201,6.299011809,c1,2,3
1.32219,6.850925918,c1,2,3
1.32237,7.52582978,c1,2,3
1.32256,8.372053382,c1,2,3
1.32274,9.417278793,c1,2,3
1.32292,10.70101774,c1,2,3
1.32311,12.32897572,c1,2,3
1.32329,14.45047228,c1,2,3
1.32347,17.21811107,c1,2,3
1.32366,20.84416677,c1,2,3
1.32384,25.66625606,c1,2,3
1.32402,32.0792689,c1,2,3
1.32421,40.42264021,c1,2,3
1.32439,50.96500877,c1,2,3
1.32457,63.71637469,c1,2,3
1.32476,77.74502495,c1,2,3
1.32494,90.52798207,c1,2,3
1.32512,98.50578187,c1,2,3
1.32531,99.02817298,c1,2,3
1.32549,92.12526932,c1,2,3
1.32567,80.3806171,c1,2,3
1.32586,67.11436013,c1,2,3
1.32604,54.67981527,c1,2,3
1.32622,44.09301448,c1,2,3
1.32641,35.55395958,c1,2,3
1.32659,28.90003545,c1,2,3
1.32677,23.77010246,c1,2,3
1.32696,19.76052055,c1,2,3
1.32714,16.59299175,c1,2,3
4.08467,1.951972291,c2,4,1
4.08485,2.452442749,c2,4,1
4.08503,3.088925808,c2,4,1
4.08522,3.869921545,c2,4,1
4.0854,4.770986554,c2,4,1
4.08558,5.684131219,c2,4,1
4.08577,6.408387804,c2,4,1
4.08595,6.735572596,c2,4,1
4.08613,6.576662061,c2,4,1
4.08632,6.01264557,c2,4,1
4.0865,5.228399804,c2,4,1
4.08668,4.403790034,c2,4,1
4.08687,3.650805916,c2,4,1
4.08705,3.014220584,c2,4,1
4.08723,2.497954527,c2,4,1
4.08742,2.087337158,c2,4,1
4.0876,1.762243293,c2,4,1
4.08778,1.50336594,c2,4,1
4.08797,1.294966318,c2,4,1
4.08815,1.126147738,c2,4,1
4.08833,0.990238548,c2,4,1
4.08852,0.881429604,c2,4,1
4.0887,0.792732207,c2,4,1
4.08888,0.718357667,c2,4,1
4.08907,0.655925281,c2,4,1
4.08925,0.604221402,c2,4,1
4.08943,0.560300548,c2,4,1
4.08962,0.522274066,c2,4,1
4.0898,0.491196511,c2,4,1
4.08998,0.467659933,c2,4,1
4.09017,0.449450677,c2,4,1
4.09035,0.435308503,c2,4,1
4.09053,0.426826608,c2,4,1
4.09072,0.423998173,c2,4,1
4.0909,0.422120883,c2,4,1
4.09108,0.416820835,c2,4,1
4.09127,0.409671906,c2,4,1
4.09145,0.404291175,c2,4,1
4.09163,0.400969554,c2,4,1
4.09182,0.399371812,c2,4,1
4.092,0.401822971,c2,4,1
4.09218,0.409015082,c2,4,1
4.09237,0.416711743,c2,4,1
4.09255,0.422017473,c2,4,1
4.09273,0.427965254,c2,4,1
4.09292,0.437621024,c2,4,1
4.0931,0.448594987,c2,4,1
4.09328,0.458455304,c2,4,1
4.09347,0.470412231,c2,4,1
4.09365,0.487761252,c2,4,1
4.09383,0.50785689,c2,4,1
4.09402,0.528419577,c2,4,1
4.0942,0.554274357,c2,4,1
4.09438,0.590496277,c2,4,1
4.09457,0.635167138,c2,4,1
4.09475,0.685207366,c2,4,1
4.09493,0.742923799,c2,4,1
4.09512,0.808706216,c2,4,1
4.0953,0.874104537,c2,4,1
4.09548,0.930666415,c2,4,1
4.09567,0.979485041,c2,4,1
4.09585,1.023891126,c2,4,1
4.09603,1.061868744,c2,4,1
4.09622,1.095502005,c2,4,1
4.0964,1.138055801,c2,4,1
4.09658,1.201204102,c2,4,1
4.09677,1.283307121,c2,4,1
4.09695,1.382239839,c2,4,1
