shift,A,cluster,peaks,Hs
3.82965,2.804543404,c7,4,1
3.82983,3.025514432,c7,4,1
3.83001,3.279170064,c7,4,1
3.8302,3.566532388,c7,4,1
3.83038,3.886534876,c7,4,1
3.83056,4.236488994,c7,4,1
3.83075,4.619127714,c7,4,1
3.83093,5.058714524,c7,4,1
3.83111,5.574535784,c7,4,1
3.8313,6.181545086,c7,4,1
3.83148,6.908338684,c7,4,1
3.83166,7.754894358,c7,4,1
3.83185,8.74300925,c7,4,1
3.83203,9.898546634,c7,4,1
3.83221,11.23917086,c7,4,1
3.8324,12.76592625,c7,4,1
3.83258,14.47783513,c7,4,1
3.83276,16.34214625,c7,4,1
3.83295,18.30446675,c7,4,1
3.83313,20.2626989,c7,4,1
3.83331,22.05761912,c7,4,1
3.8335,23.54624616,c7,4,1
3.83368,24.58855394,c7,4,1
3.83386,25.03605082,c7,4,1
3.83405,24.8409653,c7,4,1
3.83423,24.01996182,c7,4,1
3.83441,22.7090226,c7,4,1
3.8346,21.06654906,c7,4,1
3.83478,19.26076359,c7,4,1
3.83496,17.42504872,c7,4,1
3.83515,15.66554607,c7,4,1
3.83533,14.06424491,c7,4,1
3.83551,12.64807503,c7,4,1
3.8357,11.41568106,c7,4,1
3.83588,10.34657678,c7,4,1
3.83606,9.462581572,c7,4,1
3.83625,8.741942724,c7,4,1
3.83643,8.166929224,c7,4,1
3.83661,7.711700022,c7,4,1
3.8368,7.36221251,c7,4,1
3.83698,7.11073437,c7,4,1
3.83716,6.95317725,c7,4,1
3.83735,6.893607282,c7,4,1
3.83753,6.914337898,c7,4,1
3.83771,7.033077886,c7,4,1
3.8379,7.22396397,c7,4,1
3.83808,7.512837206,c7,4,1
3.83826,7.916206542,c7,4,1
3.83845,8.439382392,c7,4,1
3.83863,9.079587342,c7,4,1
3.83881,9.861329292,c7,4,1
3.839,10.81664848,c7,4,1
3.83918,11.97882944,c7,4,1
3.83936,13.35607109,c7,4,1
3.83955,14.94019673,c7,4,1
3.83973,16.71189777,c7,4,1
3.83991,18.62515803,c7,4,1
3.8401,20.60376528,c7,4,1
3.84028,22.48438538,c7,4,1
3.84046,24.104173,c7,4,1
3.84065,25.29957184,c7,4,1
3.84083,25.92726732,c7,4,1
3.84101,25.89082764,c7,4,1
3.8412,25.19669644,c7,4,1
3.84138,23.92552976,c7,4,1
3.84156,22.21464296,c7,4,1
3.84175,20.253389,c7,4,1
3.84193,18.20634628,c7,4,1
3.84211,16.19201038,c7,4,1
3.8423,14.3096794,c7,4,1
3.84248,12.59070477,c7,4,1
3.84266,11.06903762,c7,4,1
3.84285,9.754276662,c7,4,1
3.84303,8.61371509,c7,4,1
3.84321,7.63650988,c7,4,1
3.8434,6.795397936,c7,4,1
3.84358,6.074070288,c7,4,1
3.84376,5.467060986,c7,4,1
3.84395,4.958061054,c7,4,1
3.84413,4.522229308,c7,4,1
3.84431,4.140834868,c7,4,1
3.8445,3.78801446,c7,4,1
3.84468,3.48963136,c7,4,1
3.84486,3.241974942,c7,4,1
3.84505,3.026958688,c7,4,1
3.84523,2.849737478,c7,4,1
3.84541,2.688825242,c7,4,1
3.8456,2.55033229,c7,4,1
3.84578,2.44452394,c7,4,1
3.84596,2.348558744,c7,4,1
