shift,A,cluster,peaks,Hs
0.974818,1.78836856,c1,2,3
0.974986,1.877915894,c1,2,3
0.975154,1.973101474,c1,2,3
0.975322,2.074210134,c1,2,3
0.975489,2.183089642,c1,2,3
0.975657,2.30326025,c1,2,3
0.975825,2.437789398,c1,2,3
0.975993,2.59105184,c1,2,3
0.97616,2.76625378,c1,2,3
0.976328,2.96461489,c1,2,3
0.976496,3.186164386,c1,2,3
0.976664,3.429470794,c1,2,3
0.976831,3.690539139,c1,2,3
0.976999,3.963701962,c1,2,3
0.977167,4.240027169,c1,2,3
0.977335,4.514292809,c1,2,3
0.977502,4.784154482,c1,2,3
0.97767,5.047326215,c1,2,3
0.977838,5.303961379,c1,2,3
0.978006,5.558412819,c1,2,3
0.978174,5.813937862,c1,2,3
0.978341,6.077628139,c1,2,3
0.978509,6.355903361,c1,2,3
0.978677,6.655584932,c1,2,3
0.978845,6.988752721,c1,2,3
0.979012,7.370035495,c1,2,3
0.97918,7.817808679,c1,2,3
0.979348,8.352200523,c1,2,3
0.979516,8.997896613,c1,2,3
0.979683,9.783672456,c1,2,3
0.979851,10.74356203,c1,2,3
0.980019,11.91897577,c1,2,3
0.980187,13.36439725,c1,2,3
0.980354,15.14972028,c1,2,3
0.980522,17.36368151,c1,2,3
0.98069,20.11473686,c1,2,3
0.980858,23.53610085,c1,2,3
0.981026,27.77756679,c1,2,3
0.981193,32.98169761,c1,2,3
0.981361,39.25212895,c1,2,3
0.981529,46.60741152,c1,2,3
0.981697,54.91644878,c1,2,3
0.981864,63.84401338,c1,2,3
0.982032,72.83833131,c1,2,3
0.9822,81.20827917,c1,2,3
0.982368,88.27945838,c1,2,3
0.982535,93.56494939,c1,2,3
0.982703,96.87413272,c1,2,3
0.982871,98.29318882,c1,2,3
0.983039,98.05290603,c1,2,3
0.983206,96.37092651,c1,2,3
0.983374,93.34438585,c1,2,3
0.983542,88.97182337,c1,2,3
0.98371,83.2554301,c1,2,3
0.983877,76.33104979,c1,2,3
0.984045,68.52207826,c1,2,3
0.984213,60.29929449,c1,2,3
0.984381,52.17313507,c1,2,3
0.984549,44.57881129,c1,2,3
0.984716,37.80210631,c1,2,3
0.984884,31.96812784,c1,2,3
0.985052,27.07826354,c1,2,3
0.98522,23.05809147,c1,2,3
