shift,A,cluster,peaks,Hs
3.18406,18.62351852,c1,1,9
3.18424,20.17427411,c1,1,9
3.18443,21.89836279,c1,1,9
3.18461,23.81040402,c1,1,9
3.18479,25.92400903,c1,1,9
3.18498,28.25741014,c1,1,9
3.18516,30.83136027,c1,1,9
3.18534,33.67946738,c1,1,9
3.18553,36.85222745,c1,1,9
3.18571,40.4290393,c1,1,9
3.18589,44.52820297,c1,1,9
3.18608,49.31632995,c1,1,9
3.18626,55.0283399,c1,1,9
3.18644,61.98938995,c1,1,9
3.18663,70.64730625,c1,1,9
3.18681,81.6056038,c1,1,9
3.18699,95.6348293,c1,1,9
3.18718,113.6260139,c1,1,9
3.18736,136.4500241,c1,1,9
3.18754,164.7202053,c1,1,9
3.18773,198.4718458,c1,1,9
3.18791,236.9067564,c1,1,9
3.18809,278.3361368,c1,1,9
3.18828,320.4082696,c1,1,9
3.18846,360.5983563,c1,1,9
3.18864,396.7731311,c1,1,9
3.18883,427.6109609,c1,1,9
3.18901,452.6682205,c1,1,9
3.18919,472.1255527,c1,1,9
3.18938,486.3627274,c1,1,9
3.18956,495.6368458,c1,1,9
3.18974,500,c1,1,9
3.18993,499.3874948,c1,1,9
3.19011,493.7220319,c1,1,9
3.19029,482.9120295,c1,1,9
3.19048,466.744077,c1,1,9
3.19066,444.8720125,c1,1,9
3.19084,417.0135289,c1,1,9
3.19103,383.3291044,c1,1,9
3.19121,344.7874885,c1,1,9
3.19139,303.2530831,c1,1,9
3.19158,261.1935533,c1,1,9
3.19176,221.122775,c1,1,9
3.19194,185.0412622,c1,1,9
3.19213,154.0925261,c1,1,9
3.19231,128.531147,c1,1,9
3.19249,107.9462676,c1,1,9
3.19268,91.57330655,c1,1,9
3.19286,78.5660993,c1,1,9
3.19304,68.16216515,c1,1,9
3.19323,59.7447139,c1,1,9
3.19341,52.83693245,c1,1,9
3.19359,47.08173626,c1,1,9
3.19378,42.21261408,c1,1,9
3.19396,38.02825422,c1,1,9
3.19414,34.38145378,c1,1,9
3.19433,31.16760797,c1,1,9
3.19451,28.31521584,c1,1,9
3.19469,25.77176494,c1,1,9
3.19488,23.49759787,c1,1,9
3.19506,21.45801441,c1,1,9
3.19524,19.6262122,c1,1,9
3.4918,2.65141649,c2,5,2
3.49198,2.92149851,c2,5,2
3.49217,3.2302549,c2,5,2
3.49235,3.590809565,c2,5,2
3.49253,4.020184945,c2,5,2
3.49272,4.53991534,c2,5,2
3.4929,5.17899603,c2,5,2
3.49308,5.9711358,c2,5,2
3.49327,6.95393356,c2,5,2
3.49345,8.16482859,c2,5,2
3.49363,9.638680755,c2,5,2
3.49382,11.3993181,c2,5,2
3.494,13.44831179,c2,5,2
3.49418,15.75869144,c2,5,2
3.49437,18.26794624,c2,5,2
3.49455,20.87651257,c2,5,2
3.49473,23.45289928,c2,5,2
3.49492,25.84082931,c2,5,2
3.4951,27.87553962,c2,5,2
3.49528,29.40495415,c2,5,2
3.49547,30.30959659,c2,5,2
3.49565,30.52023452,c2,5,2
3.49583,30.02880203,c2,5,2
3.49602,28.88831569,c2,5,2
3.4962,27.20354833,c2,5,2
3.49638,25.1172498,c2,5,2
3.49657,22.78846978,c2,5,2
3.49675,20.37356935,c2,5,2
3.49693,18.01168549,c2,5,2
3.49712,15.81011163,c2,5,2
3.4973,13.8381642,c2,5,2
3.49748,12.13079549,c2,5,2
3.49767,10.69489512,c2,5,2
3.49785,9.517608055,c2,5,2
3.49803,8.573140175,c2,5,2
3.49822,7.83045453,c2,5,2
3.4984,7.25730427,c2,5,2
3.49858,6.82622329,c2,5,2
3.49877,6.518491945,c2,5,2
3.49895,6.324221095,c2,5,2
3.49913,6.241201015,c2,5,2
3.49932,6.27417883,c2,5,2
3.4995,6.435438255,c2,5,2
3.49968,6.74033813,c2,5,2
3.49987,7.20633779,c2,5,2
3.50005,7.849543855,c2,5,2
3.50023,8.68102175,c2,5,2
3.50042,9.70371217,c2,5,2
3.5006,10.90771757,c2,5,2
3.50078,12.26228665,c2,5,2
3.50097,13.71263845,c2,5,2
3.50115,15.18550758,c2,5,2
3.50133,16.59779834,c2,5,2
3.50152,17.86229808,c2,5,2
3.5017,18.89649923,c2,5,2
3.50188,19.63671469,c2,5,2
3.50207,20.0476561,c2,5,2
3.50225,20.131592,c2,5,2
3.50243,19.93204469,c2,5,2
3.50262,19.52648056,c2,5,2
3.5028,19.01799203,c2,5,2
3.50298,18.52563532,c2,5,2
3.50317,18.16981097,c2,5,2
3.50335,18.0594088,c2,5,2
3.50353,18.28222962,c2,5,2
3.50372,18.89372657,c2,5,2
3.5039,19.91061962,c2,5,2
3.50408,21.30929916,c2,5,2
3.50427,23.02422967,c2,5,2
3.50445,24.95416714,c2,5,2
3.50463,26.96535187,c2,5,2
3.50482,28.90276711,c2,5,2
3.505,30.60618689,c2,5,2
3.50518,31.92513154,c2,5,2
3.50537,32.73684794,c2,5,2
3.50555,32.96370172,c2,5,2
3.50573,32.58292346,c2,5,2
3.50592,31.62610465,c2,5,2
3.5061,30.17440854,c2,5,2
3.50628,28.34798361,c2,5,2
3.50647,26.2921843,c2,5,2
3.50665,24.16034697,c2,5,2
3.50683,22.09908637,c2,5,2
3.50702,20.23678493,c2,5,2
3.5072,18.67426655,c2,5,2
3.50738,17.4797554,c2,5,2
3.50757,16.68803573,c2,5,2
3.50775,16.30078794,c2,5,2
3.50793,16.29246997,c2,5,2
3.50812,16.60914103,c2,5,2
3.5083,17.17131829,c2,5,2
3.50848,17.87901804,c2,5,2
3.50867,18.61931753,c2,5,2
3.50885,19.27904191,c2,5,2
3.50903,19.75241011,c2,5,2
3.50922,19.95397389,c2,5,2
3.5094,19.8295404,c2,5,2
3.50958,19.36154946,c2,5,2
3.50977,18.56714116,c2,5,2
3.50995,17.49496301,c2,5,2
3.51013,16.21970872,c2,5,2
3.51032,14.83069147,c2,5,2
3.5105,13.41898884,c2,5,2
3.51069,12.06315945,c2,5,2
3.51087,10.82319353,c2,5,2
3.51105,9.73967269,c2,5,2
3.51124,8.833601915,c2,5,2
3.51142,8.10783788,c2,5,2
3.5116,7.552886335,c2,5,2
3.51179,7.15595945,c2,5,2
3.51197,6.90342919,c2,5,2
3.51215,6.781289435,c2,5,2
3.51234,6.779289765,c2,5,2
3.51252,6.896749605,c2,5,2
3.5127,7.14482681,c2,5,2
3.51289,7.542123385,c2,5,2
3.51307,8.11529045,c2,5,2
3.51325,8.897036955,c2,5,2
3.51344,9.924852585,c2,5,2
3.51362,11.23657152,c2,5,2
3.5138,12.8615167,c2,5,2
