shift,A,cluster,peaks,Hs
1.70518,1.704226757,c3,16,2
1.70537,1.818891598,c3,16,2
1.70555,1.935558208,c3,16,2
1.70573,2.060685898,c3,16,2
1.70592,2.212692997,c3,16,2
1.7061,2.365731935,c3,16,2
1.70628,2.522107153,c3,16,2
1.70647,2.693461236,c3,16,2
1.70665,2.92913329,c3,16,2
1.70683,3.227008045,c3,16,2
1.70702,3.553481941,c3,16,2
1.7072,3.890239834,c3,16,2
1.70738,4.259569448,c3,16,2
1.70757,4.628881865,c3,16,2
1.70775,4.998211479,c3,16,2
1.70794,5.361573623,c3,16,2
1.70812,5.705984323,c3,16,2
1.7083,6.044307172,c3,16,2
1.70849,6.363351826,c3,16,2
1.70867,6.668294679,c3,16,2
1.70885,6.911825908,c3,16,2
1.70904,7.088098424,c3,16,2
1.70922,7.203045301,c3,16,2
1.7094,7.252023265,c3,16,2
1.70959,7.243665368,c3,16,2
1.70977,7.164076177,c3,16,2
1.70995,7.010538517,c3,16,2
1.71014,6.787919228,c3,16,2
1.71032,6.504885758,c3,16,2
1.7105,6.181748142,c3,16,2
1.71069,5.822633735,c3,16,2
1.71087,5.423827917,c3,16,2
1.71105,5.000429933,c3,16,2
1.71124,4.589207651,c3,16,2
1.71142,4.226619386,c3,16,2
1.7116,3.9064913,c3,16,2
1.71179,3.619863591,c3,16,2
1.71197,3.343296313,c3,16,2
1.71215,3.10870769,c3,16,2
1.71234,2.914429582,c3,16,2
1.71252,2.746738529,c3,16,2
1.7127,2.588076067,c3,16,2
1.71289,2.457978352,c3,16,2
1.71307,2.339592011,c3,16,2
1.71325,2.258265891,c3,16,2
1.71344,2.185332063,c3,16,2
1.71362,2.138985289,c3,16,2
1.7138,2.092414951,c3,16,2
1.71399,2.045191114,c3,16,2
1.71417,2.003006091,c3,16,2
1.71435,1.976762983,c3,16,2
1.71454,1.949316063,c3,16,2
1.71472,1.91803414,c3,16,2
1.7149,1.895144509,c3,16,2
1.71509,1.898824735,c3,16,2
1.71527,1.908919561,c3,16,2
1.71545,1.939290026,c3,16,2
1.71564,1.969660491,c3,16,2
1.71582,2.000013758,c3,16,2
1.716,2.031588035,c3,16,2
1.71619,2.066980116,c3,16,2
1.71637,2.107737762,c3,16,2
1.71655,2.165434765,c3,16,2
1.71674,2.224387174,c3,16,2
1.71692,2.292368174,c3,16,2
1.7171,2.382929254,c3,16,2
1.71729,2.504497099,c3,16,2
1.71747,2.660201621,c3,16,2
1.71765,2.823008636,c3,16,2
1.71784,2.995583729,c3,16,2
1.71802,3.209157228,c3,16,2
1.7182,3.459343819,c3,16,2
1.71839,3.719418868,c3,16,2
1.71857,3.958599175,c3,16,2
1.71875,4.182198712,c3,16,2
1.71894,4.402152416,c3,16,2
1.71912,4.610652707,c3,16,2
1.7193,4.811998913,c3,16,2
1.71949,4.973928865,c3,16,2
1.71967,5.064833891,c3,16,2
1.71985,5.075719794,c3,16,2
1.72004,5.001496167,c3,16,2
1.72022,4.883298996,c3,16,2
1.7204,4.730827569,c3,16,2
1.72059,4.570703336,c3,16,2
1.72077,4.409942802,c3,16,2
1.72095,4.257316599,c3,16,2
1.72114,4.148767124,c3,16,2
1.72132,4.088834469,c3,16,2
1.7215,4.065824457,c3,16,2
1.72169,4.068868382,c3,16,2
1.72187,4.113151477,c3,16,2
1.72205,4.197074392,c3,16,2
1.72224,4.330989912,c3,16,2
1.72242,4.538871099,c3,16,2
1.7226,4.820391205,c3,16,2
1.72279,5.176754041,c3,16,2
1.72297,5.576780868,c3,16,2
1.72315,6.030841671,c3,16,2
1.72334,6.553640156,c3,16,2
1.72352,7.135803785,c3,16,2
1.7237,7.744881218,c3,16,2
1.72389,8.338343485,c3,16,2
1.72407,8.934144588,c3,16,2
1.72425,9.532181342,c3,16,2
1.72444,10.10363104,c3,16,2
1.72462,10.61796845,c3,16,2
1.7248,11.0319251,c3,16,2
1.72499,11.34029022,c3,16,2
1.72517,11.54521347,c3,16,2
1.72535,11.63494908,c3,16,2
1.72554,11.61997021,c3,16,2
1.72572,11.47905539,c3,16,2
1.7259,11.21210141,c3,16,2
1.72609,10.82562607,c3,16,2
1.72627,10.35202911,c3,16,2
1.72645,9.833082826,c3,16,2
1.72664,9.294514399,c3,16,2
1.72682,8.744337783,c3,16,2
1.727,8.192458632,c3,16,2
1.72719,7.635299904,c3,16,2
1.72737,7.073480703,c3,16,2
1.72755,6.507190199,c3,16,2
1.72774,5.986627365,c3,16,2
1.72792,5.526581895,c3,16,2
1.7281,5.13480978,c3,16,2
1.72829,4.800941037,c3,16,2
1.72847,4.514227342,c3,16,2
1.72865,4.292502313,c3,16,2
1.72884,4.127442449,c3,16,2
1.72902,3.973646829,c3,16,2
1.7292,3.825216772,c3,16,2
1.72939,3.703700519,c3,16,2
1.72957,3.624059737,c3,16,2
1.72975,3.580997651,c3,16,2
1.72994,3.557557706,c3,16,2
1.73012,3.54572595,c3,16,2
1.7303,3.544023416,c3,16,2
1.73049,3.584316733,c3,16,2
1.73067,3.670544089,c3,16,2
1.73085,3.806110551,c3,16,2
1.73104,3.958650767,c3,16,2
1.73122,4.119583275,c3,16,2
1.7314,4.305417499,c3,16,2
1.73159,4.536343093,c3,16,2
1.73177,4.834183454,c3,16,2
1.73195,5.185593462,c3,16,2
1.73214,5.576952842,c3,16,2
1.73232,5.993729858,c3,16,2
1.7325,6.410524071,c3,16,2
1.73269,6.827301087,c3,16,2
1.73287,7.247053239,c3,16,2
1.73305,7.665928328,c3,16,2
1.73324,8.042618395,c3,16,2
1.73342,8.381749518,c3,16,2
1.73361,8.702892245,c3,16,2
1.73379,9.012512769,c3,16,2
1.73397,9.292244353,c3,16,2
1.73416,9.5112866,c3,16,2
1.73434,9.666836347,c3,16,2
1.73452,9.779392797,c3,16,2
1.73471,9.844484648,c3,16,2
1.73489,9.836797447,c3,16,2
1.73507,9.735728805,c3,16,2
1.73526,9.55092642,c3,16,2
1.73544,9.26859804,c3,16,2
1.73562,8.889637928,c3,16,2
1.73581,8.426067008,c3,16,2
1.73599,7.940156771,c3,16,2
1.73617,7.499630258,c3,16,2
1.73636,7.111675947,c3,16,2
1.73654,6.765665897,c3,16,2
1.73672,6.468221075,c3,16,2
1.73691,6.245412615,c3,16,2
1.73709,6.107163371,c3,16,2
1.73727,6.042037126,c3,16,2
1.73746,6.05682682,c3,16,2
1.73764,6.149210815,c3,16,2
1.73782,6.342181927,c3,16,2
1.73801,6.624338333,c3,16,2
1.73819,6.963435061,c3,16,2
1.73837,7.345353113,c3,16,2
1.73856,7.761751788,c3,16,2
1.73874,8.174796986,c3,16,2
1.73892,8.577403411,c3,16,2
1.73911,8.976828333,c3,16,2
1.73929,9.366330402,c3,16,2
1.73947,9.753218478,c3,16,2
1.73966,10.1218258,c3,16,2
1.73984,10.45375125,c3,16,2
1.74002,10.76025906,c3,16,2
1.74021,11.02473662,c3,16,2
1.74039,11.24028781,c3,16,2
1.74057,11.38758285,c3,16,2
1.74076,11.47697451,c3,16,2
1.74094,11.52345886,c3,16,2
1.74112,11.51826527,c3,16,2
1.74131,11.43886525,c3,16,2
1.74149,11.26945447,c3,16,2
1.74167,11.00592276,c3,16,2
1.74186,10.6631458,c3,16,2
1.74204,10.24934392,c3,16,2
1.74222,9.76224707,c3,16,2
1.74241,9.215647496,c3,16,2
1.74259,8.648686297,c3,16,2
1.74277,8.087434607,c3,16,2
1.74296,7.554266139,c3,16,2
1.74314,7.059671256,c3,16,2
1.74332,6.59646148,c3,16,2
1.74351,6.170569885,c3,16,2
1.74369,5.772073618,c3,16,2
1.74387,5.417361725,c3,16,2
1.74406,5.117062148,c3,16,2
1.74424,4.88121812,c3,16,2
1.74442,4.691308131,c3,16,2
1.74461,4.539352624,c3,16,2
1.74479,4.416804532,c3,16,2
1.74497,4.334515362,c3,16,2
1.74516,4.288925271,c3,16,2
1.74534,4.285365426,c3,16,2
1.74552,4.323939011,c3,16,2
1.74571,4.403235847,c3,16,2
1.74589,4.52052156,c3,16,2
1.74607,4.685753397,c3,16,2
1.74626,4.918278342,c3,16,2
1.74644,5.218663906,c3,16,2
1.74662,5.582369997,c3,16,2
1.74681,6.011580674,c3,16,2
1.74699,6.496785821,c3,16,2
1.74717,7.040908981,c3,16,2
1.74736,7.598463248,c3,16,2
1.74754,8.132491582,c3,16,2
1.74772,8.637576829,c3,16,2
1.74791,9.118706211,c3,16,2
1.74809,9.557667768,c3,16,2
1.74827,9.925122875,c3,16,2
1.74846,10.2110111,c3,16,2
1.74864,10.40489367,c3,16,2
1.74882,10.51935902,c3,16,2
1.74901,10.53377037,c3,16,2
1.74919,10.45039777,c3,16,2
1.74937,10.30597469,c3,16,2
1.74956,10.13131872,c3,16,2
1.74974,9.932397341,c3,16,2
1.74992,9.70234881,c3,16,2
1.75011,9.456736706,c3,16,2
1.75029,9.21722965,c3,16,2
1.75047,9.000921776,c3,16,2
1.75066,8.817684347,c3,16,2
1.75084,8.67778416,c3,16,2
1.75102,8.584179155,c3,16,2
1.75121,8.529147735,c3,16,2
1.75139,8.505501422,c3,16,2
1.75157,8.534582088,c3,16,2
1.75176,8.652693272,c3,16,2
1.75194,8.858046453,c3,16,2
1.75212,9.109368067,c3,16,2
1.75231,9.383716891,c3,16,2
