shift,A,cluster,peaks,Hs
1.47125,15.22317861,c1,2,3
1.47142,17.2742441,c1,2,3
1.47159,19.80855618,c1,2,3
1.47176,22.96220392,c1,2,3
1.47192,26.8977324,c1,2,3
1.47209,31.79979547,c1,2,3
1.47226,37.84658825,c1,2,3
1.47243,45.14455582,c1,2,3
1.47259,53.64774172,c1,2,3
1.47276,63.08703159,c1,2,3
1.47293,72.92957898,c1,2,3
1.4731,82.37714929,c1,2,3
1.47327,90.45430645,c1,2,3
1.47343,96.22825866,c1,2,3
1.4736,99.09370562,c1,2,3
1.47377,98.96949899,c1,2,3
1.47394,96.27876936,c1,2,3
1.4741,91.7460554,c1,2,3
1.47427,86.16006922,c1,2,3
1.47444,80.2022912,c1,2,3
1.47461,74.35257294,c1,2,3
1.47478,68.85394542,c1,2,3
1.47494,63.73704628,c1,2,3
1.47511,58.89795597,c1,2,3
1.47528,54.19300882,c1,2,3
1.47545,49.50503658,c1,2,3
1.47561,44.77938832,c1,2,3
1.47578,40.04355512,c1,2,3
1.47595,35.40961277,c1,2,3
1.47612,31.03675274,c1,2,3
1.47629,27.07240833,c1,2,3
1.47645,23.60712615,c1,2,3
1.47662,20.66284938,c1,2,3
1.47679,18.20645626,c1,2,3
1.47696,16.17153764,c1,2,3
1.47712,14.48352813,c1,2,3
1.47729,13.07539756,c1,2,3
1.47746,11.88938986,c1,2,3
1.47763,10.87731283,c1,2,3
1.4778,10.00273255,c1,2,3
1.47796,9.240600663,c1,2,3
1.47813,8.573983679,c1,2,3
1.4783,7.989674289,c1,2,3
1.47847,7.475665851,c1,2,3
1.47863,7.022684271,c1,2,3
1.4788,6.625098848,c1,2,3
1.47897,6.275705597,c1,2,3
1.47914,5.966017066,c1,2,3
1.4793,5.689988532,c1,2,3
1.47947,5.444183611,c1,2,3
1.47964,5.225538539,c1,2,3
1.47981,5.032314425,c1,2,3
1.47998,4.864594072,c1,2,3
1.48014,4.723288329,c1,2,3
1.48031,4.608811218,c1,2,3
1.48048,4.519920673,c1,2,3
1.48065,4.457237727,c1,2,3
1.48081,4.421342011,c1,2,3
1.48098,4.410908654,c1,2,3
1.48115,4.423246513,c1,2,3
1.48132,4.457651749,c1,2,3
1.48149,4.515325028,c1,2,3
1.48165,4.596970186,c1,2,3
1.48182,4.70175918,c1,2,3
1.48199,4.830395847,c1,2,3
1.48216,4.983459817,c1,2,3
1.48232,5.15941921,c1,2,3
1.48249,5.355665685,c1,2,3
1.48266,5.569922122,c1,2,3
1.48283,5.798586529,c1,2,3
1.483,6.0378499,c1,2,3
1.48316,6.286594378,c1,2,3
1.48333,6.54833915,c1,2,3
1.4835,6.830329603,c1,2,3
1.48367,7.13769961,c1,2,3
1.48383,7.473885556,c1,2,3
1.484,7.845056369,c1,2,3
1.48417,8.259658101,c1,2,3
1.48434,8.725681377,c1,2,3
1.48451,9.251323836,c1,2,3
1.48467,9.848674922,c1,2,3
1.48484,10.53553759,c1,2,3
1.48501,11.33269574,c1,2,3
1.48518,12.2666882,c1,2,3
1.48534,13.37353488,c1,2,3
1.48551,14.7003515,c1,2,3
1.48568,16.3039419,c1,2,3
1.48585,18.25497965,c1,2,3
1.48602,20.64980769,c1,2,3
1.48618,23.6136263,c1,2,3
1.48635,27.29792616,c1,2,3
1.48652,31.8752303,c1,2,3
1.48669,37.52331979,c1,2,3
1.48685,44.37530275,c1,2,3
1.48702,52.44045327,c1,2,3
1.48719,61.52699631,c1,2,3
1.48736,71.19192823,c1,2,3
1.48753,80.72437307,c1,2,3
1.48769,89.20106155,c1,2,3
1.48786,95.65276794,c1,2,3
1.48803,99.34087682,c1,2,3
1.4882,100,c1,2,3
1.48836,97.90297806,c1,2,3
1.48853,93.70562201,c1,2,3
1.4887,88.19995611,c1,2,3
1.48887,82.11010504,c1,2,3
1.48904,75.98382002,c1,2,3
1.4892,70.14693644,c1,2,3
1.48937,64.7095842,c1,2,3
1.48954,59.62290867,c1,2,3
1.48971,54.76353128,c1,2,3
1.48987,50.00476125,c1,2,3
1.49004,45.26172407,c1,2,3
1.49021,40.51823146,c1,2,3
1.49038,35.84027855,c1,2,3
1.49055,31.35919315,c1,2,3
1.49071,27.22605193,c1,2,3
