shift,A,cluster,peaks,Hs,config
3.55941,11.3531,c5,6,2,beta F
3.55958,11.2179,c5,6,2,beta F
3.55975,11.1328,c5,6,2,beta F
3.55992,11.1124,c5,6,2,beta F
3.56008,11.1432,c5,6,2,beta F
3.56025,11.174,c5,6,2,beta F
3.56042,11.2262,c5,6,2,beta F
3.56059,11.306,c5,6,2,beta F
3.56075,11.4211,c5,6,2,beta F
3.56092,11.5637,c5,6,2,beta F
3.56109,11.7133,c5,6,2,beta F
3.56126,11.8906,c5,6,2,beta F
3.56143,12.1152,c5,6,2,beta F
3.56159,12.4228,c5,6,2,beta F
3.56176,12.8076,c5,6,2,beta F
3.56193,13.2939,c5,6,2,beta F
3.5621,13.8644,c5,6,2,beta F
3.56226,14.5179,c5,6,2,beta F
3.56243,15.2556,c5,6,2,beta F
3.5626,16.1132,c5,6,2,beta F
3.56277,17.1276,c5,6,2,beta F
3.56294,18.3173,c5,6,2,beta F
3.5631,19.6964,c5,6,2,beta F
3.56327,21.2876,c5,6,2,beta F
3.56344,23.1279,c5,6,2,beta F
3.56361,25.2726,c5,6,2,beta F
3.56377,27.7505,c5,6,2,beta F
3.56394,30.5698,c5,6,2,beta F
3.56411,33.75,c5,6,2,beta F
3.56428,37.3084,c5,6,2,beta F
3.56445,41.2381,c5,6,2,beta F
3.56461,45.4537,c5,6,2,beta F
3.56478,49.817,c5,6,2,beta F
3.56495,54.1526,c5,6,2,beta F
3.56512,58.2184,c5,6,2,beta F
3.56528,61.7214,c5,6,2,beta F
3.56545,64.3297,c5,6,2,beta F
3.56562,65.7664,c5,6,2,beta F
3.56579,65.8458,c5,6,2,beta F
3.56596,64.5139,c5,6,2,beta F
3.56612,61.8906,c5,6,2,beta F
3.56629,58.2248,c5,6,2,beta F
3.56646,53.8268,c5,6,2,beta F
3.56663,49.0322,c5,6,2,beta F
3.56679,44.1603,c5,6,2,beta F
3.56696,39.4821,c5,6,2,beta F
3.56713,35.1882,c5,6,2,beta F
3.5673,31.3832,c5,6,2,beta F
3.56747,28.089,c5,6,2,beta F
3.56763,25.2837,c5,6,2,beta F
3.5678,22.9028,c5,6,2,beta F
3.56797,20.9185,c5,6,2,beta F
3.56814,19.2767,c5,6,2,beta F
3.5683,17.9025,c5,6,2,beta F
3.56847,16.7545,c5,6,2,beta F
3.56864,15.8003,c5,6,2,beta F
3.56881,15.0052,c5,6,2,beta F
3.56897,14.3485,c5,6,2,beta F
3.56914,13.8197,c5,6,2,beta F
3.56931,13.3925,c5,6,2,beta F
3.56948,13.0332,c5,6,2,beta F
3.56965,12.7201,c5,6,2,beta F
3.56981,12.4436,c5,6,2,beta F
3.56998,12.2317,c5,6,2,beta F
3.57015,12.0763,c5,6,2,beta F
3.57032,11.9485,c5,6,2,beta F
3.57048,11.8565,c5,6,2,beta F
3.57065,11.8291,c5,6,2,beta F
3.57082,11.8812,c5,6,2,beta F
3.57099,11.9795,c5,6,2,beta F
3.57116,12.085,c5,6,2,beta F
3.57132,12.2183,c5,6,2,beta F
3.57149,12.408,c5,6,2,beta F
3.57166,12.6623,c5,6,2,beta F
3.57183,12.957,c5,6,2,beta F
3.57199,13.3163,c5,6,2,beta F
3.57216,13.7493,c5,6,2,beta F
3.57233,14.2469,c5,6,2,beta F
3.5725,14.8037,c5,6,2,beta F
3.57267,15.425,c5,6,2,beta F
3.57283,16.1177,c5,6,2,beta F
3.573,16.912,c5,6,2,beta F
3.57317,17.7881,c5,6,2,beta F
3.57334,18.7288,c5,6,2,beta F
3.5735,19.7664,c5,6,2,beta F
3.57367,20.9423,c5,6,2,beta F
3.57384,22.293,c5,6,2,beta F
3.57401,23.819,c5,6,2,beta F
3.57418,25.5514,c5,6,2,beta F
3.57434,27.5328,c5,6,2,beta F
3.57451,29.8014,c5,6,2,beta F
3.57468,32.4113,c5,6,2,beta F
3.57485,35.4282,c5,6,2,beta F
3.57501,38.8971,c5,6,2,beta F
3.57518,42.8734,c5,6,2,beta F
3.57535,47.4124,c5,6,2,beta F
3.57552,52.6248,c5,6,2,beta F
3.57569,58.6029,c5,6,2,beta F
3.57585,65.4262,c5,6,2,beta F
3.57602,73.1258,c5,6,2,beta F
3.57619,81.7237,c5,6,2,beta F
3.57636,91.1795,c5,6,2,beta F
3.57652,101.363,c5,6,2,beta F
3.57669,111.979,c5,6,2,beta F
3.57686,122.581,c5,6,2,beta F
3.57703,132.564,c5,6,2,beta F
3.5772,141.251,c5,6,2,beta F
3.57736,147.917,c5,6,2,beta F
3.57753,151.885,c5,6,2,beta F
3.5777,152.689,c5,6,2,beta F
3.57787,150.161,c5,6,2,beta F
3.57803,144.47,c5,6,2,beta F
3.5782,136.112,c5,6,2,beta F
3.57837,125.771,c5,6,2,beta F
3.57854,114.255,c5,6,2,beta F
3.57871,102.38,c5,6,2,beta F
3.57887,90.8145,c5,6,2,beta F
3.57904,80.0332,c5,6,2,beta F
3.57921,70.2963,c5,6,2,beta F
3.57938,61.731,c5,6,2,beta F
3.57954,54.3407,c5,6,2,beta F
3.57971,48.0481,c5,6,2,beta F
3.57988,42.7069,c5,6,2,beta F
3.58005,38.1682,c5,6,2,beta F
3.58021,34.3006,c5,6,2,beta F
3.58038,31.0142,c5,6,2,beta F
3.58055,28.2074,c5,6,2,beta F
3.58072,25.7973,c5,6,2,beta F
3.58089,23.7182,c5,6,2,beta F
3.58105,21.9065,c5,6,2,beta F
3.58122,20.3393,c5,6,2,beta F
3.58139,18.9843,c5,6,2,beta F
3.58156,17.8242,c5,6,2,beta F
3.58172,16.8209,c5,6,2,beta F
3.58189,15.9499,c5,6,2,beta F
3.58206,15.1988,c5,6,2,beta F
3.58223,14.5676,c5,6,2,beta F
3.5824,14.038,c5,6,2,beta F
3.58256,13.5832,c5,6,2,beta F
3.58273,13.1931,c5,6,2,beta F
3.5829,12.894,c5,6,2,beta F
3.58307,12.6964,c5,6,2,beta F
3.58323,12.5622,c5,6,2,beta F
3.5834,12.4742,c5,6,2,beta F
3.58357,12.4346,c5,6,2,beta F
3.58374,12.4595,c5,6,2,beta F
